Country Name,route-km (most recent),size (km2)
Albania,,27400
Andorra,,470
Austria,4877,82520
Belarus,5459,202980
Belgium,3607,30280
Bosnia and Herzegovina,1018.054,51200
Bulgaria,4030,108560
Croatia,2617,55960
Czech Republic,9396,77198.53
Denmark,,40000
Estonia,1033,42750
Finland,5923,303940
France,28241,547557
Georgia,1285,69490
Germany,33422,349390
Gibraltar,,10
Greece,2279,128900
Grenada,,340
Hungary,7587.7,91260
Iceland,,100830
Ireland,1888,68890
Isle of Man,,570
Italy,16778.6,295717
Kosovo,,
Latvia,1859.6,62230
Liechtenstein,,160
Lithuania,1911,62620
Luxembourg,288,2574.46
Malta,,320
Moldova,1151,32884.6
Monaco,,2.027
Netherlands,3200,33670
North Macedonia,683,25220
Norway,4200,364285
Poland,18538,306130
Portugal,2526.149,91605.6
Romania,10759,230080
Serbia,3724.468,87460
Slovak Republic,3629.154,48080
Slovenia,1209,20136.4
Spain,15718,499556.645
Sweden,9701,407283.532
Switzerland,3236.24529,39516.03
Turkiye,10378,769630
Ukraine,21626,579400
United Kingdom,16295,241930
